Book Link,Title,Author,Genre,Language,Average Rating,Number of Ratings,Publication Date,Number of Pages,Currently Reading,Want to Read
https://www.goodreads.com/book/show/10629.Christine,Christine,Stephen King,Horror,French,3.85,"250,718","April 29, 1983",411,"2,833",123k
https://www.goodreads.com/book/show/233667.Firestarter,Firestarter,Stephen King,Horror,English,3.92,"236,277","September 29, 1980",564,"3,448",120k
https://www.goodreads.com/book/show/39662.Different_Seasons,Different Seasons,Stephen King,Horror,English,4.36,"211,665","January 1, 1982",560,"6,251",122k
https://www.goodreads.com/book/show/11573.The_Dead_Zone,The Dead Zone,Stephen King,Horror,English,3.97,"232,265","August 30, 1979",402,"3,951",115k
https://www.goodreads.com/book/show/5096.Wizard_and_Glass,Wizard and Glass,Stephen King,Fantasy,English,4.26,"207,573","November 4, 1997",845,"7,120",69.3k
https://www.goodreads.com/book/show/10567.Cell,Cell,Stephen King,Horror,English,3.66,"228,575","January 24, 2006",449,"3,682",121k
https://www.goodreads.com/book/show/4978.Wolves_of_the_Calla,Wolves of the Calla,Stephen King,Fantasy,English,4.2,"191,476","November 4, 2003",960,"5,488",68k
https://www.goodreads.com/book/show/10589.Bag_of_Bones,Bag of Bones,Stephen King,Horror,English,3.92,"204,139","September 22, 1998",736,"3,819",124k
https://www.goodreads.com/book/show/5091.The_Dark_Tower,The Dark Tower,Stephen King,Fantasy,English,4.28,"179,544","September 21, 2004",1050,"5,014",77.7k
https://www.goodreads.com/book/show/10628.Night_Shift,Night Shift,Stephen King,Horror,English,4.04,"188,700","January 1, 1978",409,"8,080",123k
https://www.goodreads.com/book/show/56852407-billy-summers,Billy Summers,Stephen King,Fiction,English,4.19,"171,115","August 3, 2021",517,14.4k,200k
https://www.goodreads.com/book/show/23492589-finders-keepers,Finders Keepers,Stephen King,Fiction,English,4.07,"168,324","June 2, 2015",434,"9,951",99.4k
https://www.goodreads.com/book/show/5093.Song_of_Susannah,Song of Susannah,Stephen King,Fantasy,English,3.99,"165,653","June 8, 2004",544,"3,797",63.3k
https://www.goodreads.com/book/show/11570.Dreamcatcher,Dreamcatcher,Stephen King,Horror,English,3.66,"179,881","February 20, 2001",688,"3,068",87.6k
https://www.goodreads.com/book/show/13596166-joyland,Joyland,Stephen King,Horror,English,3.93,"166,821","January 1, 2013",285,"5,404",91.8k
https://www.goodreads.com/book/show/813214.The_Mist,The Mist,Stephen King,Horror,English,3.94,"165,374","August 29, 1980",176,"2,802",100k
https://www.goodreads.com/book/show/7278752-dolores-claiborne,Dolores Claiborne,Stephen King,Horror,English,3.93,"160,421","November 1, 1992",388,"1,951",66.7k
https://www.goodreads.com/book/show/10585.Insomnia,Insomnia,Stephen King,Horror,Spanish; Castilian,3.83,"161,106","January 1, 1994",896,"4,685",103k
https://www.goodreads.com/book/show/11564.The_Girl_Who_Loved_Tom_Gordon,The Girl Who Loved Tom Gordon,Stephen King,Horror,English,3.64,"169,111","April 6, 1999",264,"2,440",74.9k
https://www.goodreads.com/book/show/32692.Gerald_s_Game,Gerald's Game,Stephen King,Horror,English,3.58,"169,075","January 1, 1992",332,"3,089",93.9k
https://www.goodreads.com/book/show/25526965-end-of-watch,End of Watch,Stephen King,Horror,English,4.11,"138,559","June 7, 2016",432,"7,288",112k
https://www.goodreads.com/book/show/17660.The_Tommyknockers,The Tommyknockers,Stephen King,Horror,English,3.6,"157,719","November 10, 1987",747,"2,713",68k
https://www.goodreads.com/book/show/10584.Desperation,Desperation,Stephen King,Horror,English,3.86,"146,604","January 1, 1996",547,"2,835",77.8k
https://www.goodreads.com/book/show/65916344-holly,Holly,Stephen King,Horror,English,4.1,"136,862","September 5, 2023",449,15.6k,220k
https://www.goodreads.com/book/show/11597.The_Dark_Half,The Dark Half,Stephen King,Horror,English,3.81,"146,476","January 1, 1989",469,68,"1,937"
https://www.goodreads.com/book/show/59219.The_Talisman,The Talisman,Stephen King,Horror,English,4.11,"134,367","November 8, 1984",656,"5,644",80.4k
https://www.goodreads.com/book/show/54798175-later,Later,Stephen King,Horror,,3.97,"135,723","March 2, 2021",248,"9,323",87.3k
https://www.goodreads.com/book/show/10611.The_Eyes_of_the_Dragon,The Eyes of the Dragon,Stephen King,Fantasy,English,3.94,"135,385","February 2, 1987",427,"4,139",61.7k
https://www.goodreads.com/book/show/38355410-elevation,Elevation,Stephen King,Fiction,English,3.64,"146,104","October 30, 2018",146,"8,207",124k
https://www.goodreads.com/book/show/13440.Skeleton_Crew,Skeleton Crew,Stephen King,Horror,English,3.97,"129,784","June 21, 1985",612,"4,718",75.9k
https://www.goodreads.com/book/show/472343.Duma_Key,Duma Key,Stephen King,Horror,English,3.98,"129,031","January 22, 2008",611,"4,481",71.5k
https://www.goodreads.com/book/show/20926278-revival,Revival,Stephen King,Horror,English,3.8,"132,157","November 11, 2014",405,"5,219",76.9k
https://www.goodreads.com/book/show/7912007-full-dark-no-stars,"Full Dark, No Stars",Stephen King,Horror,English,4.08,"113,187","January 1, 2011",368,"4,278",95.9k
https://www.goodreads.com/book/show/133266.Four_Past_Midnight,Four Past Midnight,Stephen King,Horror,English,3.95,"112,388","January 1, 1990",930,"2,584",60.8k
https://www.goodreads.com/book/show/10619.Rose_Madder,Rose Madder,Stephen King,Horror,English,3.75,"118,056","January 1, 1995",595,"2,370",58.9k
https://www.goodreads.com/book/show/46015758-if-it-bleeds,If It Bleeds,Stephen King,Horror,English,3.98,"108,496","April 21, 2020",438,388,152k
https://www.goodreads.com/book/show/10579.Everything_s_Eventual,Everything's Eventual,Stephen King,Horror,English,3.97,"104,492","March 19, 2002",605,"4,326",64.6k
https://www.goodreads.com/book/show/11602.Hearts_in_Atlantis,Hearts in Atlantis,Stephen King,Horror,English,3.86,"98,737","September 14, 1999",640,"1,777",45.7k
https://www.goodreads.com/book/show/12341557-the-wind-through-the-keyhole,The Wind Through the Keyhole,Stephen King,Fantasy,English,4.14,"87,501","February 21, 2012",322,"2,908",12.4k
https://www.goodreads.com/book/show/10588.Nightmares_and_Dreamscapes,Nightmares and Dreamscapes,Stephen King,Horror,English,3.95,"85,129","September 29, 1993",836,"3,268",52.4k
https://www.goodreads.com/book/show/10566.Lisey_s_Story,Lisey's Story,Stephen King,Horror,English,3.7,"90,260","January 1, 2006",513,"5,558",67.2k
https://www.goodreads.com/book/show/34466922-sleeping-beauties,Sleeping Beauties,Stephen King,Horror,English,3.73,"88,661","September 26, 2017",702,10.4k,144k
https://www.goodreads.com/book/show/34430839-gwendy-s-button-box,Gwendy's Button Box,Stephen King,Horror,English,3.92,"74,196","May 16, 2017",171,"3,553",50.5k
https://www.goodreads.com/book/show/10607.Black_House,Black House,Stephen King,Horror,English,4.04,"65,759","January 1, 2001",659,"2,563",44.5k
https://www.goodreads.com/book/show/23512999-the-bazaar-of-bad-dreams,The Bazaar of Bad Dreams,Stephen King,Horror,English,3.92,"64,114","November 3, 2015",495,"7,556",56.6k
https://www.goodreads.com/book/show/22076.From_a_Buick_8,From a Buick 8,Stephen King,Horror,English,3.48,"71,601","September 24, 2002",356,"1,383",35.4k
https://www.goodreads.com/book/show/2906039-just-after-sunset,Just After Sunset,Stephen King,Horror,English,3.88,"57,623","November 11, 2008",367,"3,120",46.1k
https://www.goodreads.com/book/show/550844.Cycle_of_the_Werewolf,Cycle of the Werewolf,Stephen King,Horror,English,3.66,"60,835","November 1, 1983",128,825,42.6k
https://www.goodreads.com/book/show/39664.Rita_Hayworth_and_Shawshank_Redemption,Rita Hayworth and Shawshank Redemption,Stephen King,Fiction,English,4.5,"49,365","Published January 1, 1982",181,"1,124",30.8k
https://www.goodreads.com/book/show/201242757-you-like-it-darker,You Like It Darker,Stephen King,Horror,English,4.26,"51,136","May 21, 2024",502,13.6k,128k
https://www.goodreads.com/book/show/10574.The_Colorado_Kid,The Colorado Kid,Stephen King,Mystery,English,3.38,"55,273","October 4, 2005",178,"2,172",27.7k
https://www.goodreads.com/book/show/92227.The_Two_Dead_Girls,The Two Dead Girls,Stephen King,Horror,English,4.51,"37,267","March 28, 1996",92,271,29.3k
https://www.goodreads.com/book/show/102733.One_Past_Midnight,One Past Midnight: The Langoliers,Stephen King,Horror,English,3.93,"42,685","September 24, 1990",9,522,13.3k
https://www.goodreads.com/book/show/11580.Creepshow,Creepshow,Stephen King,Horror,English,4.07,"38,821","July 1, 1982",66,189,25.5k
https://www.goodreads.com/book/show/10618.Apt_Pupil,Apt Pupil,Stephen King,Horror,English,3.92,"37,739","August 27, 1982",179,837,18.8k
https://www.goodreads.com/book/show/38926465-the-body,The Body,Stephen King,Horror,English,4.02,"27,674","August 27, 1982",192,"2,265",23.9k
https://www.goodreads.com/book/show/11563.Danse_Macabre,Danse Macabre,Stephen King,Horror,English,3.67,"29,750","April 20, 1981",400,"1,305",27.4k
https://www.goodreads.com/book/show/12070846-mile-81,Mile 81,Stephen King,Horror,English,3.67,"29,035","January 1, 2011",80,"1,064",22.5k
https://www.goodreads.com/book/show/15825932-in-the-tall-grass,In the Tall Grass,Stephen King,Horror,English,3.64,"28,556","October 9, 2012",2,"1,605",23.9k
https://www.goodreads.com/book/show/13451.Storm_of_the_Century,Storm of the Century,Stephen King,Horror,English,3.96,"25,145","February 1, 1999",376,210,21.3k
https://www.goodreads.com/book/show/5417.Carrie_Salem_s_Lot_The_Shining,Carrie / 'Salem's Lot / The Shining,Stephen King,Horror,English,4.57,"20,269","January 1, 1983",1096,399,"6,846"
https://www.goodreads.com/book/show/6356190-the-little-sisters-of-eluria,The Little Sisters of Eluria,Stephen King,Fantasy,English,4.18,"21,283","January 1, 1998",312,88,26.7k
https://www.goodreads.com/book/show/22844188-a-good-marriage,A Good Marriage,Stephen King,Horror,English,3.84,"21,518","September 1, 2014",4,"1,514",14k
https://www.goodreads.com/book/show/228199.The_Bad_Death_of_Eduard_Delacroix,The Bad Death of Eduard Delacroix,Stephen King,Horror,English,4.54,"18,110","June 27, 1996",90,59,"7,971"
https://www.goodreads.com/book/show/228198.Coffey_s_Hands,Coffey's Hands,Stephen King,Horror,English,4.52,"18,152","May 30, 1996",90,78,"8,240"
https://www.goodreads.com/book/show/7940591-blockade-billy,Blockade Billy,Stephen King,Horror,English,3.48,"23,548","January 1, 2010",112,298,13k
https://www.goodreads.com/book/show/6251012-ur,UR,Stephen King,Horror,English,3.76,"21,668","February 12, 2009",61,866,12.2k
https://www.goodreads.com/book/show/71823.Coffey_on_the_Mile,Coffey on the Mile,Stephen King,Horror,English,4.59,"17,639","August 29, 1996",138,48,"7,471"
https://www.goodreads.com/book/show/59366265-gwendy-s-final-task,Gwendy's Final Task,Stephen King,Horror,English,4.07,"19,766","February 15, 2022",288,"1,031",45.2k
https://www.goodreads.com/book/show/228194.The_Mouse_on_the_Mile,The Mouse on the Mile,Stephen King,Horror,English,4.47,"17,749","April 25, 1996",92,133,"8,078"
https://www.goodreads.com/book/show/22844166-1922,1922,Stephen King,Horror,English,3.91,"20,048","November 9, 2010",132,"1,810",15.6k
https://www.goodreads.com/book/show/228200.Night_Journey,Night Journey,Stephen King,Horror,English,4.53,"16,478","July 25, 1996",90,58,"7,941"
https://www.goodreads.com/book/show/11605.Riding_the_Bullet,Riding the Bullet,Stephen King,Horror,English,3.66,"18,864","January 1, 2000",66,269,"9,268"
https://www.goodreads.com/book/show/6907672-the-talisman-volume-1,The Talisman (Volume 1): The Road of Trials,Stephen King,Graphic Novels,English,4.34,"13,318","January 1, 2009",160,17,"3,175"
https://www.goodreads.com/book/show/12274389-the-dark-tower-series,The Dark Tower Series: Books 1-7,Stephen King,Fantasy,English,4.62,"12,244","January 1, 2005",3914,250,10.5k
https://www.goodreads.com/book/show/17826887-children-of-the-corn,Children of the Corn,Stephen King,Horror,English,3.9,"11,798","March 1, 1977",50,424,"8,479"
https://www.goodreads.com/book/show/18528452-under-the-dome,Under the Dome: Part One,Stephen King,Horror,English,4.05,"11,114","November 1, 2009",656,282,"9,592"
https://www.goodreads.com/book/show/133268.Two_Past_Midnight,"Two Past Midnight: Secret Window, Secret Garden",Stephen King,Horror,English,3.95,"11,373","September 24, 1990",140,98,"6,510"
https://www.goodreads.com/book/show/40138871-laurie,Laurie,Stephen King,Short Stories,English,3.66,"11,974","May 17, 2018",32,"1,477","3,877"
https://www.goodreads.com/book/show/17284577-guns,Guns,Stephen King,Nonfiction,English,4.18,"9,523","January 25, 2013",25,617,"5,329"
https://www.goodreads.com/book/show/458450.The_Dark_Tower_1_3,The Dark Tower #1-3,Stephen King,Fantasy,English,4.46,"8,529","October 1, 1991",1008,61,"3,672"
https://www.goodreads.com/book/show/666371.Selections_from_Skeleton_Crew,Selections from Skeleton Crew,Stephen King,Horror,English,4.31,"8,611","June 21, 1985",4,67,"3,530"
https://www.goodreads.com/book/show/11572.Quitters_Inc,"Quitters, Inc",Stephen King,Horror,English,4.06,"9,105","January 1, 1978",19,23,"5,126"
https://www.goodreads.com/book/show/32715.Desperation_The_Regulators,Desperation / The Regulators: Box Set,Stephen King,Horror,English,4.21,"7,963","January 1, 1996",1075,112,"3,881"
https://www.goodreads.com/book/show/20957235-1408,وقصص أخرى 1408,Stephen King,Horror,Arabic,3.89,"8,066","January 1, 2014",291,61,"7,221"
https://www.goodreads.com/book/show/133267.Three_Past_Midnight,Three Past Midnight: The Library Policeman,Stephen King,Horror,English,3.86,"7,880","January 1, 1990",540,53,"4,788"
https://www.goodreads.com/book/show/32667.Blood_and_Smoke,Blood and Smoke,Stephen King,Horror,English,3.88,"7,721","November 22, 1999",4,31,"9,801"
https://www.goodreads.com/book/show/15803680-a-face-in-the-crowd,A Face in the Crowd,Stephen King,Horror,English,3.64,"8,092","August 21, 2012",50,"1,078","7,040"
https://www.goodreads.com/book/show/3365119-four-past-midnight,Four Past Midnight: The Sun Dog,Stephen King,Horror,English,3.69,"7,428","September 24, 1990",7,900,"4,076"
https://www.goodreads.com/book/show/1793995.The_Gingerbread_Girl,The Gingerbread Girl,Stephen King,Horror,English,3.61,"7,462","January 1, 2008",2,49,"6,508"
https://www.goodreads.com/book/show/39217966-flight-or-fright,Flight or Fright: 17 Turbulent Tales,Stephen King,Horror,English,3.49,"6,759","September 4, 2018",332,"1,409",12.8k
https://www.goodreads.com/book/show/5092.The_Dark_Tower,The Dark Tower,Stephen King,Fantasy,English,4.5,"4,982","January 1, 2002",Mass Market Paperback,68,"2,889"
https://www.goodreads.com/book/show/23456351-jerusalem-s-lot,Jerusalem's Lot,Stephen King,Horror,,4.07,"5,404","November 1, 2000",40,43,"4,942"
https://www.goodreads.com/book/show/102686.The_Lawnmower_Man,The Lawnmower Man: Stories from Night Shift,Stephen King,Horror,English,3.77,"5,729","October 1, 1995",4,15,"2,492"
https://www.goodreads.com/book/show/30840523-six-scary-stories,Six Scary Stories,Stephen King,Horror,English,3.66,"5,614","August 25, 2016",200,"1,245","9,063"
https://www.goodreads.com/book/show/155403.The_Shawshank_Redemption,The Shawshank Redemption: Different Seasons,Stephen King,Fiction,English,4.48,"4,566","Published August 1, 1994",507,44,"3,751"
https://www.goodreads.com/book/show/52317884-the-jaunt,The Jaunt,Stephen King,Horror,,4.18,"4,641","January 1, 1981",25,32,"6,049"
https://www.goodreads.com/book/show/97126.The_Talisman_and_Black_House,The Talisman and Black House,Stephen King,Horror,English,4.45,"4,221","October 29, 2002",Hardcover,26,"3,368"
https://www.goodreads.com/book/show/102688.Graveyard_Shift_and_Other_Stories_from_Night_Shift,"Graveyard Shift, and Other Stories from Night Shift",Stephen King,Horror,English,3.89,"4,632","January 1, 1988",Audio Cassette,45,"1,827"
https://www.goodreads.com/book/show/22844168-big-driver,Big Driver,Stephen King,Horror,,3.95,"4,432","November 9, 2010",4,441,"2,712"
https://www.goodreads.com/book/show/860613.Pet_Sematary_Carrie_Nightshift,Pet Sematary / Carrie / Nightshift,Stephen King,Horror,,4.3,"3,729","Published November 1, 1991",1,58,"1,913"
https://www.goodreads.com/book/show/24796646-drunken-fireworks,Drunken Fireworks,Stephen King,Fiction,English,3.49,"4,479","June 30, 2015",2,24,"2,755"
https://www.goodreads.com/book/show/32668.LT_s_Theory_of_Pets,LT's Theory of Pets,Stephen King,Horror,English,3.71,"4,199","June 7, 2001",1,11,"3,212"
https://www.goodreads.com/book/show/10575.Stationary_Bike,Stationary Bike,Stephen King,Horror,English,3.56,"4,375","January 1, 2003",34,15,"3,995"
https://www.goodreads.com/book/show/18528453-under-the-dome,Under the Dome: Part Two,Stephen King,Horror,English,4.07,"3,755","November 10, 2009",624,87,"4,481"
https://www.goodreads.com/book/show/32680.Silver_Bullet,Silver Bullet,Stephen King,Horror,English,3.74,"3,760","Published November 12, 1985",255,7,"1,354"
https://www.goodreads.com/book/show/102418.Dolores_Claiborne_Insomnia_Rose_Madder,Dolores Claiborne/Insomnia/Rose Madder,Stephen King,Horror,English,4.45,"3,085","January 1, 1996",Boxed Set,5,"1,393"
https://www.goodreads.com/book/show/116334.Nightmares_in_the_Sky,Nightmares in the Sky: Gargoyles and Grotesques,Stephen King,Nonfiction,English,4.01,"3,418","October 7, 1988",128,8,"6,323"
https://www.goodreads.com/book/show/2239777.It_The_Eyes_of_the_Dragon_Misery,It/The Eyes of the Dragon/Misery,Stephen King,Horror,English,4.61,"2,856","October 15, 1988",Mass Market Paperback,10,"1,191"
https://www.goodreads.com/book/show/17925150-the-dark-man,The Dark Man,Stephen King,Poetry,English,4.13,"2,981","January 1, 1969",88,8,"4,363"
https://www.goodreads.com/book/show/155512._a_Tome_1,"Ça, Tome 1",Stephen King,Horror,French,4.22,"2,861","September 15, 1986",799,304,"2,163"
https://www.goodreads.com/book/show/973196.Dark_Forces,Dark Forces: New Stories of Suspense and Supernatural Horror,Stephen King,Horror,English,4.08,"2,869","August 1, 1980",551,72,"3,415"
https://www.goodreads.com/book/show/20980228-11-22-63,11/22/63 上,Stephen King,Fiction,Japanese,4.38,"2,597","Published September 13, 2013",529,40,"2,742"
https://www.goodreads.com/book/show/4945933-the-breathing-method,The Breathing Method,Stephen King,Horror,English,3.65,"3,071","January 1, 1999",3,27,"1,554"
https://www.goodreads.com/book/show/10587.The_Man_in_the_Black_Suit,The Man in the Black Suit: 4 Dark Tales,Stephen King,Horror,English,3.69,"3,009","January 1, 1994",Audio CD,26,"2,480"
https://www.goodreads.com/book/show/155465.Dolan_s_Cadillac,Dolan's Cadillac,Stephen King,Horror,English,3.88,"2,693","January 1, 1989",64,13,"2,261"
https://www.goodreads.com/book/show/866502.Everything_s_Eventual,Everything's Eventual: 5 Dark Tales,Stephen King,Horror,English,4.09,"2,483","Published March 1, 2002",8,19,"1,178"
https://www.goodreads.com/book/show/37541461-uncle-otto-s-truck,Uncle Otto's Truck,Stephen King,Horror,English,4.37,"2,229",,1,4,"1,163"
https://www.goodreads.com/book/show/3583368-stephen-king-goes-to-the-movies,Stephen King Goes to the Movies,Stephen King,Horror,English,3.92,"2,453","January 20, 2009",626,129,"5,565"
https://www.goodreads.com/book/show/5416.The_Shining_Salem_s_Lot_Night_Shift_Carrie,The Shining / 'Salem's Lot / Night Shift / Carrie,Stephen King,Horror,English,4.67,"1,978","Published January 1, 1981",991,22,727
https://www.goodreads.com/book/show/155711._a_Tome_2,"Ça, Tome 2",Stephen King,Horror,French,4.19,"2,102","September 1, 1986",638,105,"1,618"
https://www.goodreads.com/book/show/17797820-sometimes-they-come-back,Sometimes They Come Back,Stephen King,Horror,English,3.93,"2,241","March 1, 1974",35,13,"2,216"
https://www.goodreads.com/book/show/1278221.The_Best_American_Short_Stories_2007,The Best American Short Stories 2007,Stephen King,Short Stories,English,3.77,"2,304","January 1, 2007",448,112,"2,853"
https://www.goodreads.com/book/show/17225778-las-cuatro-estaciones,Las cuatro estaciones: primavera/verano,Stephen King,Horror,Spanish; Castilian,4.2,"1,987","August 27, 1982",354,106,"1,372"
https://www.goodreads.com/book/show/17160738-survivor-type,Survivor Type,Stephen King,Horror,English,3.89,"2,051","January 1, 1982",65,24,"3,506"
https://www.goodreads.com/book/show/35115736-el-hombre-del-traje-negro,El hombre del traje negro,Stephen King,Horror,Spanish; Castilian,3.59,"2,053","January 1, 2020",128,32,986
https://www.goodreads.com/book/show/20774925-strawberry-spring,Strawberry Spring,Stephen King,Horror,English,3.61,"2,019",,Audiobook,36,"1,048"
https://www.goodreads.com/book/show/11596.Secret_Windows,Secret Windows: Essays and Fiction on the Craft of Writing,Stephen King,Nonfiction,English,4.08,"1,772","January 1, 2000",433,40,"3,263"
https://www.goodreads.com/book/show/32714.The_Monkey,The Monkey,Stephen King,Horror,English,3.75,"1,849","January 1, 1980",2,19,"2,180"
https://www.goodreads.com/book/show/10848249-the-road-virus-heads-north,The Road Virus Heads North,Stephen King,Horror,English,3.71,"1,825","May 1, 2006",Audiobook,10,"1,819"
https://www.goodreads.com/book/show/16097947-las-dos-despu-s-de-medianoche,Las dos después de medianoche,Stephen King,Horror,Spanish; Castilian,3.81,"1,732","September 24, 1990",528,104,"1,263"
https://www.goodreads.com/book/show/22909466-las-cuatro-estaciones-ii,Las cuatro estaciones II: otoño e invierno,Stephen King,Horror,Spanish; Castilian,3.95,"1,667","August 27, 1982",272,72,"1,214"
https://www.goodreads.com/book/show/155549.Le_Fl_au_1_2,Le Fléau 1/2,Stephen King,Horror,French,4.29,"1,515","January 1, 1978",764,102,"1,142"
https://www.goodreads.com/book/show/36291755-the-boogeyman,The Boogeyman,Stephen King,Horror,English,3.77,"1,720","March 1, 1973",25,15,"2,086"
https://www.goodreads.com/book/show/155570.La_expedici_n,La expedición,Stephen King,Horror,Spanish; Castilian,3.8,"1,579","June 21, 1985",221,63,"1,063"
https://www.goodreads.com/book/show/26927393-almuerzo-en-el-caf-gotham,Almuerzo en el café Gotham,Stephen King,Horror,Spanish; Castilian,3.37,"1,683","January 1, 1995",96,35,907
https://www.goodreads.com/book/show/29543190-graveyard-shift,Graveyard Shift,Stephen King,Horror,English,3.73,"1,476","January 1, 1970",26,12,811
https://www.goodreads.com/book/show/155527.Le_Fl_au_2_2,Le Fléau 2/2,Stephen King,Horror,French,4.33,"1,263","January 1, 1978",795,49,871
https://www.goodreads.com/book/show/466506.Mrs_Todd_s_Shortcut_from_Skeleton_Crew,"Mrs. Todd's Shortcut, from Skeleton Crew",Stephen King,Short Stories,English,3.86,"1,359","May 1, 1984",2,11,"1,150"
https://www.goodreads.com/book/show/18220262-morality,Morality,Stephen King,Horror,English,3.27,"1,592","July 1, 2009",34,8,"1,579"
https://www.goodreads.com/book/show/5631481-nightmares-dreamscapes-volume-i,"Nightmares & Dreamscapes, Volume I",Stephen King,Fiction,,4.09,"1,233","October 13, 1993",Audio CD,39,997
https://www.goodreads.com/book/show/31441211-the-mangler,The Mangler,Stephen King,Horror,English,3.69,"1,342","December 1, 1972",Paperback,6,"1,174"
https://www.goodreads.com/book/show/409076.Umney_s_Last_Case,Umney's Last Case,Stephen King,Horror,English,3.82,"1,275","July 1, 1995",96,8,"1,897"
https://www.goodreads.com/book/show/155532.Historias_fant_sticas,Historias fantásticas,Stephen King,Horror,Spanish; Castilian,3.06,"1,542","June 21, 1985",248,78,835
https://www.goodreads.com/book/show/27406812-the-bill-hodges-trilogy,The Bill Hodges Trilogy,Stephen King,Horror,English,4.48,934,"Published June 28, 2016",1344,47,"2,167"
https://www.goodreads.com/book/show/35120962-gwendy-s-button-box-the-music-room,"Gwendy's Button Box + ""The Music Room""",Stephen King,Horror,English,4.02,"1,035","Published May 16, 2017",3,7,451
https://www.goodreads.com/book/show/13609593-the-plant,The Plant,Stephen King,Horror,English,3.57,"1,146","July 1, 2000",291,44,"3,037"
https://www.goodreads.com/book/show/38673201-cookie-jar-imaginaire,Cookie Jar (Imaginaire),Stephen King,Short Stories,French,3.84,994,"March 31, 2016",32,10,"1,111"
https://www.goodreads.com/book/show/21402617-b-ser-kleiner-junge,Böser kleiner Junge,Stephen King,Horror,German,3.96,963,"March 14, 2014",60,7,205
https://www.goodreads.com/book/show/6829356-zombies,Zombies: Encounters with the Hungry Dead,Stephen King,Horror,English,3.91,968,"January 1, 2009",704,44,"1,505"
https://www.goodreads.com/book/show/8476733-one-for-the-road,One for the Road: An Illustrated Story,Stephen King,Horror,English,3.8,966,"January 1, 1977",38,8,601
https://www.goodreads.com/book/show/34462396-the-shawshank-redemption,the shawshank redemption,Stephen King,Fiction,English,4.44,822,,,15,637
https://www.goodreads.com/book/show/16122067-i-am-the-doorway,I Am the Doorway,Stephen King,Horror,English,3.67,969,"January 1, 1978",Audio CD,7,"1,068"
https://www.goodreads.com/book/show/24149977-skeleton-crew,Skeleton Crew: The Raft,Stephen King,Horror,English,3.81,926,"November 1, 1982",98,8,650
