,Rank,Book Link,Title,Author,Genre,Language,Average Rating,Number of Ratings,Publication Date,Number of Pages,Currently Reading,Want to Read
42,43,https://www.goodreads.com/book/show/174186566-not-in-a-billion-years,Not in a Billion Years,Camilla Isley,Romance,English,3.80,"3,894","September 6, 2023",370,784,25.1k
43,44,https://www.goodreads.com/book/show/60683957-check-mate,Check & Mate,Ali Hazelwood,Young Adult,English,3.96,"263,106","November 7, 2023",347,"7,860",340k
44,45,https://www.goodreads.com/book/show/62226126-the-last-devil-to-die,The Last Devil to Die,Richard Osman,Mystery,English,4.48,"166,758","September 14, 2023",421,"8,282",122k
45,46,https://www.goodreads.com/book/show/61190770-chain-gang-all-stars,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,Fiction,English,4.13,"64,692","May 2, 2023",367,"7,779",172k
46,47,https://www.goodreads.com/book/show/62971668-someone-else-s-shoes,Someone Else's Shoes,Jojo Moyes,Fiction,English,3.96,"211,769","February 2, 2023",438,13k,204k
47,48,https://www.goodreads.com/book/show/63922274-go-as-a-river,Go as a River,Shelley Read,Historical Fiction,English,4.27,"120,840","March 7, 2023",320,"8,936",164k
48,49,https://www.goodreads.com/book/show/61109599-secretly-yours,Secretly Yours,Tessa Bailey,Romance,English,3.28,"131,983","February 7, 2023",384,"5,318",172k
49,50,https://www.goodreads.com/book/show/61085925-these-infinite-threads,These Infinite Threads,Tahereh Mafi,Fantasy,English,4.08,"35,346","February 7, 2023",416,"1,622",105k
50,51,https://www.goodreads.com/book/show/65214365-fall-of-ruin-and-wrath,Fall of Ruin and Wrath,Jennifer L. Armentrout,Fantasy,English,4.00,"64,879","September 12, 2023",416,"4,354",197k
51,52,https://www.goodreads.com/book/show/60784912-lost-in-the-moment-and-found,Lost in the Moment and Found,Seanan McGuire,Fantasy,English,4.32,"14,417","January 10, 2023",208,222,16.6k
52,53,https://www.goodreads.com/book/show/61273863-the-writing-retreat,The Writing Retreat,Julia Bartz,Thriller,English,3.42,"66,750","February 21, 2023",313,"1,994",105k
53,54,https://www.goodreads.com/book/show/61714633-the-wager,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,Nonfiction,English,4.18,"146,892","April 18, 2023",331,19.6k,241k
54,55,https://www.goodreads.com/book/show/145622214-heir-of-broken-fate,Heir of Broken Fate,Mads Rafferty,Fantasy,English,3.71,"5,966","May 3, 2023",512,"1,295",43.8k
55,56,https://www.goodreads.com/book/show/63035432-the-chalice-of-the-gods,The Chalice of the Gods,Rick Riordan,Fantasy,English,4.30,"104,375","September 26, 2023",288,"7,454",106k
56,57,https://www.goodreads.com/book/show/60784409-a-house-with-good-bones,A House with Good Bones,T. Kingfisher,Horror,English,3.68,"47,810","March 28, 2023",247,"1,759",128k
57,58,https://www.goodreads.com/book/show/60531416-yumi-and-the-nightmare-painter,Yumi and the Nightmare Painter,Brandon Sanderson,Fantasy,English,4.47,"73,105","July 1, 2023",480,"5,109",85.5k
58,59,https://www.goodreads.com/book/show/61273858-the-house-of-eve,The House of Eve,Sadeqa Johnson,Historical Fiction,English,4.25,"105,535","February 7, 2023",384,"5,820",202k
59,60,https://www.goodreads.com/book/show/180357146-the-covenant-of-water,The Covenant of Water,Abraham Verghese,Fiction,English,4.43,"229,442","May 2, 2023",724,57.3k,419k
60,61,https://www.goodreads.com/book/show/61884838-atalanta,Atalanta,Jennifer Saint,Mythology,English,3.77,"25,075","April 11, 2023",291,"1,734",123k
61,62,https://www.goodreads.com/book/show/60784641-the-villa,The Villa,Rachel Hawkins,Mystery,English,3.63,"129,289","January 3, 2023",279,"7,886",151k
62,63,https://www.goodreads.com/book/show/65969788-magic-tides,Magic Tides,Ilona Andrews,Urban Fantasy,English,4.51,"15,511","January 17, 2023",158,710,"5,513"
63,64,https://www.goodreads.com/book/show/63133205-the-woman-in-me,The Woman in Me,Britney Spears,Nonfiction,English,3.85,"492,954","October 24, 2023",288,21.5k,233k
64,65,https://www.goodreads.com/book/show/61053829-i-have-some-questions-for-you,I Have Some Questions for You,Rebecca Makkai,Fiction,English,3.60,"123,626","February 21, 2023",438,"8,635",193k
65,66,https://www.goodreads.com/book/show/17699859-chain-of-thorns,Chain of Thorns,Cassandra Clare,Fantasy,English,4.05,"53,650","January 31, 2023",778,"4,049",116k
66,67,https://www.goodreads.com/book/show/61065982-the-bandit-queens,The Bandit Queens,Parini Shroff,Fiction,English,3.93,"39,449","January 3, 2023",342,"2,775",96k
67,68,https://www.goodreads.com/book/show/60701439-big-swiss,Big Swiss,Jen Beagin,Fiction,English,3.68,"102,392","February 7, 2023",336,"6,656",177k
68,69,https://www.goodreads.com/book/show/62583516-the-wind-knows-my-name,The Wind Knows My Name,Isabel Allende,Historical Fiction,English,4.02,"47,208","June 6, 2023",260,"4,323",107k
69,70,https://www.goodreads.com/book/show/198566969-the-general,The General,Israh Azizi,Fantasy,English,4.60,113,"November 23, 2023",Unknown Binding,7,"4,288"
70,71,https://www.goodreads.com/book/show/62698816-lore-olympus,Lore Olympus: Volume Four,Rachel Smythe,Graphic Novels,English,4.48,"35,157","June 6, 2023",416,308,18.4k
71,72,https://www.goodreads.com/book/show/60487511-the-love-wager,The Love Wager,Lynn Painter,Romance,English,3.87,"87,128","March 14, 2023",315,"2,294",130k
72,73,https://www.goodreads.com/book/show/61272184-mysteries-of-thorn-manor,Mysteries of Thorn Manor,Margaret Rogerson,Fantasy,English,4.07,"24,985","January 17, 2023",192,602,42.7k
73,74,https://www.goodreads.com/book/show/61341819-hang-the-moon,Hang the Moon,Jeannette Walls,Historical Fiction,English,3.82,"75,011","March 28, 2023",368,"6,782",87.1k
74,75,https://www.goodreads.com/book/show/60460704-lone-women,Lone Women,Victor LaValle,Horror,English,3.71,"30,780","March 28, 2023",285,"1,680",94.5k
75,76,https://www.goodreads.com/book/show/73071451-throne-of-the-fallen,Throne of the Fallen,Kerri Maniscalco,Fantasy,English,4.04,"64,070","October 3, 2023",384,"9,107",236k
76,77,https://www.goodreads.com/book/show/62919356-immortal-longings,Immortal Longings,Chloe Gong,Fantasy,English,3.54,"22,782","July 18, 2023",372,"2,419",138k
77,78,https://www.goodreads.com/book/show/109554429-magic-claims,Magic Claims,Ilona Andrews,Urban Fantasy,English,4.70,"12,773","June 13, 2023",240,650,"3,370"
78,79,https://www.goodreads.com/book/show/75302266-a-study-in-drowning,A Study in Drowning,Ava Reid,Fantasy,English,3.76,"67,191","September 19, 2023",378,"4,384",247k
79,80,https://www.goodreads.com/book/show/61150759-the-last-tale-of-the-flower-bride,The Last Tale of the Flower Bride,Roshani Chokshi,Fantasy,English,3.71,"26,498","February 14, 2023",289,"1,226","8,947"
80,81,https://www.goodreads.com/book/show/65211701-system-collapse,System Collapse,Martha Wells,Science Fiction,English,4.23,"49,995","November 13, 2023",256,"3,579",41.3k
81,82,https://www.goodreads.com/book/show/65213595-starling-house,Starling House,Alix E. Harrow,Fantasy,English,3.81,"116,264","October 3, 2023",320,"7,905",232k
82,83,https://www.goodreads.com/book/show/61282437-the-ferryman,The Ferryman,Justin Cronin,Science Fiction,English,3.92,"35,331","May 2, 2023",538,"3,382",97.2k
83,84,https://www.goodreads.com/book/show/124950295-out-on-a-limb,Out on a Limb,Hannah Bonam-Young,Romance,English,4.33,"92,643","July 11, 2023",397,"4,181",173k
84,85,https://www.goodreads.com/book/show/61884932-thornhedge,Thornhedge,T. Kingfisher,Fantasy,English,3.98,"36,290","August 15, 2023",111,897,50.1k
85,86,https://www.goodreads.com/book/show/59054191-loathe-to-love-you,Loathe to Love You,Ali Hazelwood,Romance,English,3.85,"66,058","February 2, 2023",370,"3,562",89.7k
86,87,https://www.goodreads.com/book/show/58416952-the-will-of-the-many,The Will of the Many,James Islington,Fantasy,English,4.62,"72,299","May 23, 2023",639,11.8k,331k
87,88,https://www.goodreads.com/book/show/61885029-starter-villain,Starter Villain,John Scalzi,Science Fiction,English,4.14,"64,331","September 19, 2023",264,"4,286",90.6k
88,89,https://www.goodreads.com/book/show/122752652-that-time-i-got-drunk-and-saved-a-human,That Time I Got Drunk And Saved a Human,Kimberly Lemming,Fantasy,English,4.15,"13,073","May 23, 2023",243,"1,028",13.4k
89,90,https://www.goodreads.com/book/show/65678550-the-heaven-earth-grocery-store,The Heaven & Earth Grocery Store,James McBride,Fiction,English,3.97,"241,868","August 8, 2023",385,48.7k,370k
90,91,https://www.goodreads.com/book/show/65001465-devious-obsession,Devious Obsession,S. Massery,Sports Romance,English,4.01,"18,342","March 23, 2023",512,"2,754",23.3k
91,92,https://www.goodreads.com/book/show/61897968-practice-makes-perfect,Practice Makes Perfect,Sarah Adams,Romance,English,4.01,"160,314","May 2, 2023",335,"4,576",261k
92,93,https://www.goodreads.com/book/show/61273814-the-house-is-on-fire,The House Is on Fire,Rachel Beanland,Historical Fiction,English,4.09,"20,496","April 4, 2023",376,"1,506",102k
93,94,https://www.goodreads.com/book/show/195134901-god-of-ruin,God of Ruin,Rina Kent,Romance,English,4.10,"66,819","August 31, 2023",420,"6,121",73.6k
94,95,https://www.goodreads.com/book/show/61884882-the-bitter-past,The Bitter Past,Bruce Borgos,Mystery,English,4.05,"2,032","July 18, 2023",320,219,13.5k
95,96,https://www.goodreads.com/book/show/75495002-happiness-falls,Happiness Falls,Angie Kim,Mystery,English,3.74,"72,755","August 29, 2023",387,"4,924",208k
96,97,https://www.goodreads.com/book/show/61358638-poverty-by-america,"Poverty, by America",Matthew Desmond,Nonfiction,English,4.27,"47,728","March 21, 2023",284,"6,828",173k
97,98,https://www.goodreads.com/book/show/36679274-sword-catcher,Sword Catcher,Cassandra Clare,Fantasy,English,3.80,"33,507","October 10, 2023",624,"5,271",195k
98,99,https://www.goodreads.com/book/show/123164084-bone-island,Bone Island: Book of Danvers,Nicole Fiorina,Fantasy,English,4.37,"2,524","March 17, 2023",680,606,13.7k
99,100,https://www.goodreads.com/book/show/61053935-stone-cold-fox,Stone Cold Fox,Rachel Koller Croft,Thriller,English,3.66,"23,185","February 14, 2023",353,851,55.5k
100,101,https://www.goodreads.com/book/show/60784612-finlay-donovan-jumps-the-gun,Finlay Donovan Jumps the Gun,Elle Cosimano,Mystery,English,3.82,"66,280","January 31, 2023",304,"1,840",47.1k
101,102,https://www.goodreads.com/book/show/112974857-bulletproof-barista,Bulletproof Barista,Cleo Coyle,Mystery,English,3.98,"2,005","November 14, 2023",352,309,"1,286"
102,103,https://www.goodreads.com/book/show/60041932-my-roommate-is-a-vampire,My Roommate Is a Vampire,Jenna Levine,Romance,English,3.47,"84,237","August 29, 2023",341,"3,001",111k
103,104,https://www.goodreads.com/book/show/196864520-butcher-blackbird,Butcher & Blackbird,Brynne Weaver,Audiobook,English,4.05,"369,513","August 15, 2023",360,28k,457k
104,105,https://www.goodreads.com/book/show/60604190-georgie-all-along,"Georgie, All Along",Kate Clayborn,Romance,English,3.79,"58,910","January 24, 2023",340,"3,167",77.2k
105,106,https://www.goodreads.com/book/show/61150440-a-fire-in-the-flesh,A Fire in the Flesh,Jennifer L. Armentrout,Fantasy,English,4.10,"79,997","October 31, 2023",632,"6,939",107k
106,107,https://www.goodreads.com/book/show/62874245-the-drowning-woman,The Drowning Woman,Robyn Harding,Thriller,English,4.05,"108,634","June 13, 2023",336,"6,038",177k
107,108,https://www.goodreads.com/book/show/101024750-the-river-we-remember,The River We Remember,William Kent Krueger,Historical Fiction,English,4.27,"77,316","September 5, 2023",432,"5,842",106k
108,109,https://www.goodreads.com/book/show/63119009-the-crown-of-oaths-and-curses,The Crown of Oaths and Curses,J. Bree,Fantasy,English,4.26,"15,195","May 27, 2023",663,"2,464",54.4k
109,110,https://www.goodreads.com/book/show/61272658-murder-your-employer,Murder Your Employer,Rupert Holmes,Mystery,English,3.83,"42,439","February 21, 2023",389,"8,117",118k
110,111,https://www.goodreads.com/book/show/61884832-all-the-sinners-bleed,All the Sinners Bleed,S.A. Cosby,Mystery,English,4.23,"73,582","June 6, 2023",341,"5,509",125k
111,112,https://www.goodreads.com/book/show/60965424-the-drift,The Drift,C.J. Tudor,Horror,English,3.70,"19,372","January 19, 2023",340,"1,050",36.6k
112,113,https://www.goodreads.com/book/show/62322008-strange-sally-diamond,Strange Sally Diamond,Liz Nugent,Thriller,English,4.18,"109,728","July 18, 2023",384,"4,143",21.6k
113,114,https://www.goodreads.com/book/show/62919765-zero-days,Zero Days,Ruth Ware,Thriller,English,3.64,"105,463","June 20, 2023",356,"6,456",101k
114,115,https://www.goodreads.com/book/show/60877616-really-good-actually,"Really Good, Actually",Monica Heisey,Fiction,English,3.15,"97,983","January 17, 2023",370,"6,799",174k
115,116,https://www.goodreads.com/book/show/65916344-holly,Holly,Stephen King,Horror,English,4.10,"136,659","September 5, 2023",449,15.6k,220k
116,117,https://www.goodreads.com/book/show/57102663-the-secret-lives-of-country-gentlemen,The Secret Lives of Country Gentlemen,K.J. Charles,Romance,English,4.12,"11,510","March 7, 2023",331,654,25.7k
117,118,https://www.goodreads.com/book/show/61885085-witch-king,Witch King,Martha Wells,Fantasy,English,3.70,"20,537","May 30, 2023",415,"3,550",88.4k
118,119,https://www.goodreads.com/book/show/101145836-wildfire,Wildfire,Hannah Grace,Sports Romance,English,3.85,"347,876","October 3, 2023",387,22.8k,317k
119,120,https://www.goodreads.com/book/show/36140857-the-fragile-threads-of-power,The Fragile Threads of Power,Victoria E. Schwab,Fantasy,English,4.29,"35,044","September 26, 2023",22,"4,997",168k
120,120,https://www.goodreads.com/book/show/61618737-forget-me-not,Forget Me Not,Julie Soto,Contemporary,English,3.98,"58,606","July 11, 2023",341,"2,140",88.6k
121,122,https://www.goodreads.com/book/show/62365891-unfortunately-yours,Unfortunately Yours,Tessa Bailey,Contemporary,English,3.78,"90,243","June 6, 2023",384,"3,139",120k
122,123,https://www.goodreads.com/book/show/63249718-silver-nitrate,Silver Nitrate,Silvia Moreno-Garcia,Horror,English,3.60,"25,380","July 18, 2023",323,"1,921",87.2k
123,124,https://www.goodreads.com/book/show/62292422-psyche-and-eros,Psyche and Eros,Luna McNamara,Mythology,English,3.78,"14,423","May 25, 2023",352,"1,125",64.9k
124,125,https://www.goodreads.com/book/show/123257687-assistant-to-the-villain,Assistant to the Villain,Hannah Nicole Maehrer,Fantasy,English,3.92,"191,170","August 29, 2023",342,19.2k,301k
125,126,https://www.goodreads.com/book/show/57370115-highly-suspicious-and-unfairly-cute,Highly Suspicious and Unfairly Cute,Talia Hibbert,Romance,English,3.71,"33,270","January 3, 2023",336,"1,587",77k
126,127,https://www.goodreads.com/book/show/60784757-birnam-wood,Birnam Wood,Eleanor Catton,Fiction,English,3.81,"44,144","March 2, 2023",432,"6,796",103k
127,128,https://www.goodreads.com/book/show/71872930-north-woods,North Woods,Daniel Mason,Fiction,English,4.13,"65,786","September 19, 2023",372,12.6k,133k
128,129,https://www.goodreads.com/book/show/61225421-storm-watch,Storm Watch,C.J. Box,Mystery,English,4.20,"23,968","February 28, 2023",368,"2,642","4,623"
129,129,https://www.goodreads.com/book/show/174753697-hopeless,Hopeless,Elsie Silver,Romance,English,4.12,"210,188","October 13, 2023",486,11.8k,149k
130,131,https://www.goodreads.com/book/show/157062582-the-mystery-guest,The Mystery Guest,Nita Prose,Mystery,English,3.81,"120,460","November 28, 2023",293,"6,703",168k
131,132,https://www.goodreads.com/book/show/65215270-the-house-of-doors,The House of Doors,Tan Twan Eng,Historical Fiction,English,4.13,"15,972","May 4, 2023",306,"1,725",44.6k
132,133,https://www.goodreads.com/book/show/127280062-ruthless-vows,Ruthless Vows,Rebecca Ross,Fantasy,English,4.02,"296,138","December 26, 2023",420,22k,297k
133,134,https://www.goodreads.com/book/show/62848145-the-housemaid-s-secret,The Housemaid's Secret,Freida McFadden,Thriller,English,4.23,"917,369","February 15, 2023",318,84k,551k
134,135,https://www.goodreads.com/book/show/63068346-the-sunlit-man,The Sunlit Man,Brandon Sanderson,Fantasy,English,4.31,"52,099","October 1, 2023",385,"3,421",55.1k
135,136,https://www.goodreads.com/book/show/61062499-the-perfumist-of-paris,The Perfumist of Paris,Alka Joshi,Historical Fiction,English,4.16,"30,168","March 28, 2023",368,"1,825",41.6k
136,137,https://www.goodreads.com/book/show/62039259-open-throat,Open Throat,Henry Hoke,Fiction,English,4.01,"14,350","June 6, 2023",160,480,35.7k
137,138,https://www.goodreads.com/book/show/57932307-one-of-us-is-back,One of Us Is Back,Karen M. McManus,Mystery,English,3.96,"60,613","July 25, 2023",368,"2,976",140k
138,139,https://www.goodreads.com/book/show/62854842-ink-blood-sister-scribe,Ink Blood Sister Scribe,Emma Törzs,Fantasy,English,4.02,"50,872","May 30, 2023",416,"4,450",155k
139,140,https://www.goodreads.com/book/show/61137200-the-last-chance-cowboy,The Last Chance Cowboy,Jody Hedlund,Historical Fiction,English,4.41,"1,352","February 14, 2023",352,69,"3,265"
140,141,https://www.goodreads.com/book/show/87556695-let-us-descend,Let Us Descend,Jesmyn Ward,Historical Fiction,English,3.70,"30,932","October 24, 2023",320,"3,459",108k
141,142,https://www.goodreads.com/book/show/63267168-princes-of-chaos,Princes of Chaos,Angel Lawson,Reverse Harem,English,4.37,"6,153","May 31, 2023",582,859,"7,949"
142,142,https://www.goodreads.com/book/show/61246258-pineapple-street,Pineapple Street,Jenny Jackson,Fiction,English,3.56,"187,365","March 7, 2023",304,"8,802",198k
143,142,https://www.goodreads.com/book/show/123194693-pucking-around,Pucking Around,Emily Rath,Romance,English,3.81,"158,511","March 18, 2023",756,25.7k,168k
144,145,https://www.goodreads.com/book/show/61153739-outlive,Outlive: The Science & Art of Longevity,Peter Attia,Health,English,4.36,"67,625","March 28, 2023",496,29.6k,149k
145,145,https://www.goodreads.com/book/show/101124639-bright-young-women,Bright Young Women,Jessica Knoll,Thriller,English,4.01,"160,351","September 19, 2023",384,11.9k,321k
146,147,https://www.goodreads.com/book/show/66087062-the-unmaking-of-june-farrow,The Unmaking of June Farrow,Adrienne Young,Fantasy,English,4.15,"104,623","October 17, 2023",320,"5,626",297k
147,148,https://www.goodreads.com/book/show/61273344-the-golden-spoon,The Golden Spoon,Jessa Maxwell,Mystery,English,3.48,"44,889","March 7, 2023",288,"2,110",61.7k
148,149,https://www.goodreads.com/book/show/60880820-the-shards,The Shards,Bret Easton Ellis,Fiction,English,4.01,"31,466","January 17, 2023",595,"3,777",62.2k
149,150,https://www.goodreads.com/book/show/63892214-vampires-of-el-norte,Vampires of El Norte,Isabel Cañas,Horror,English,3.89,"30,569","August 15, 2023",371,"1,906",103k
150,151,https://www.goodreads.com/book/show/59397314-the-foxglove-king,The Foxglove King,Hannah F. Whitten,Fantasy,English,3.78,"28,039","March 7, 2023",466,"3,093",134k
151,152,https://www.goodreads.com/book/show/56687771-only-the-beautiful,Only the Beautiful,Susan Meissner,Historical Fiction,English,4.46,"31,233","April 18, 2023",400,"1,763",68k
152,152,https://www.goodreads.com/book/show/58769584-a-girl-called-samson,A Girl Called Samson,Amy Harmon,Historical Fiction,English,4.49,"46,693","April 1, 2023",405,10.7k,44.9k
153,154,https://www.goodreads.com/book/show/123027751-six-scorched-roses,Six Scorched Roses,Carissa Broadbent,Fantasy,English,4.26,"99,910","March 21, 2023",187,"4,849",127k
154,155,https://www.goodreads.com/book/show/61767163-the-last-word,The Last Word,Taylor Adams,Thriller,English,3.70,"68,681","April 25, 2023",337,"2,373",110k
155,156,https://www.goodreads.com/book/show/60473073-pageboy,Pageboy,Elliot Page,Nonfiction,English,3.74,"66,650","June 6, 2023",271,"4,502",82.9k
156,157,https://www.goodreads.com/book/show/195015128-if-only-you,If Only You,Chloe Liese,Romance,English,4.03,"18,955","April 11, 2023",384,338,33.6k
157,158,https://www.goodreads.com/book/show/64395170-thorne-princess,Thorne Princess,L.J. Shen,Romance,English,3.87,"17,400","January 12, 2023",452,"3,867",19.1k
158,159,https://www.goodreads.com/book/show/149131106-my-billionaire-grump,My Billionaire Grump,Camilla Isley,Romance,English,3.07,"2,522","May 5, 2023",115,449,"3,094"
159,160,https://www.goodreads.com/book/show/63946934-the-bookbinder,The Bookbinder,Pip Williams,Historical Fiction,English,4.06,"25,986","March 28, 2023",437,"2,898",87.3k
160,161,https://www.goodreads.com/book/show/62039166-the-bee-sting,The Bee Sting,Paul Murray,Fiction,English,3.93,"79,638","June 8, 2023",656,21.4k,236k
161,162,https://www.goodreads.com/book/show/29227774-light-bringer,Light Bringer,Pierce Brown,Science Fiction,English,4.75,"56,580","July 25, 2023",682,"4,538",106k
